semantic_id,dataset,d,audit_n_per_client,n_cells,n_cell_replicates,certified_count,certification_rate,effective_certified_acceptance,conditional_certified_acceptance
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,5.0,256,1.0,200.0,1.0,0.005,0.0002897459519812777,0.05794919039625555
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,5.0,514,1.0,200.0,53.0,0.265,0.018901588565852848,0.07132674930510509
cifar100_proser_fedavg__split02__seed4__d5.0,cifar100,5.0,1028,1.0,200.0,191.0,0.955,0.09517980998906211,0.0996647225016357
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed0__d0.1,cifar100,0.1,1028,1.0,200.0,1.0,0.005,0.00015536876200896322,0.031073752401792644
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,0.5,514,1.0,200.0,1.0,0.005,0.0002731458105468949,0.05462916210937897
cifar100_proser_fedavg__split03__seed0__d0.5,cifar100,0.5,1028,1.0,200.0,25.0,0.125,0.007810364044258007,0.062482912354064064
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,5.0,514,1.0,200.0,3.0,0.015,0.0012514977180296835,0.0834331812019789
cifar100_proser_fedavg__split03__seed0__d5.0,cifar100,5.0,1028,1.0,200.0,41.0,0.205,0.021482124053997343,0.10479084904388948
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d0.1,cifar100,0.1,1028,1.0,200.0,7.0,0.035,0.0007097792289322963,0.02027940654092275
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,0.5,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d0.5,cifar100,0.5,1028,1.0,200.0,68.0,0.34,0.018454662134687567,0.05427841804319872
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,5.0,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,5.0,514,1.0,200.0,18.0,0.09,0.007378141325505301,0.08197934806117001
cifar100_proser_fedavg__split03__seed1__d5.0,cifar100,5.0,1028,1.0,200.0,142.0,0.71,0.07980221983584954,0.11239749272654866
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,0.1,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,0.1,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,0.1,514,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed2__d0.1,cifar100,0.1,1028,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,0.5,128,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,0.5,256,1.0,200.0,0.0,0.0,0.0,
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,0.5,514,1.0,200.0,2.0,0.01,0.000377064019612691,0.0377064019612691
cifar100_proser_fedavg__split03__seed2__d0.5,cifar100,0.5,1028,1.0,200.0,76.0,0.38,0.024976617379049347,0.06572794047118251
cifar100_proser_fedavg__split03__seed2__d5.0,cifar100,5.0,128,1.0,200.0,0.0,0.0,0.0,
